"Title","Description","Category","Approved","Advertiser Name","Price","id"
"60% discount on menu items at Jalpa Mexican Restaurant –kgbdeals Hi this is new~","Please Enjoy a fiery Mexican feast with $10 worth of menu items at Jalpa Mexican Restaurant for just $4 at 60% off. ~","Root~","True~","KGB Deals~","4.00~",366
"12312288% discount on comedy show tickets to Dangerfield&#0226;&#0128;&#0153;s - kgbdeals~","This legendary comedy club has been making New Yorkers laugh since 1969. Score 2 tickets for just $5 (reg. $40) and get ready for some funny business at Dangerfield&#0226;&#0128;&#0153;s for 88% less.~","Root~","True~","KGB Deals~","5.00~",367
"12312313360% off a two-night stay at Days Inn Williamsburg Colonial Area - kgbdeals~","Travel back in time and delight in Colonial Williamsburg with a 2-night stay for 2 at the Days Inn Williamsburg Colonial Area for $59. Enjoy modern-day fun with 2 free tickets to Williamsburg Winery; stop at Bush Gardens, too.~","Root~","True~","KGB Deals~","59.00~",368
"460% off a two-night stay for two in Daytona at August Seven Inn Boutique Hotel B&B - kgbdeals~","Head to Daytona Beach for some fun in the sun during a 2-night stay for 2 for only $149 at the August Seven Inn Boutique Hotel B&B. Come for Biketoberfest&#0194;&#0174;, Daytona 500, or just because. Combine vouchers and stay for four nights.~","Root~","True~","KGB Deals~","149.00~",369
"63% off 2 rooms of carpet cleaning + stain removal and deodorizer by AZ&#0226;&#0128;&#0153;s Best 4 Less Home Services - kgbdeals~","Enjoy your home more with today's kgbdeal: $55 for 2 rooms of carpet cleaning + stain removal and deodorizer by AZ&#0226;&#0128;&#0153;s Best 4 Less Home Services (a $150 value - 63% off).~","Root~","True~","KGB Deals~","55.00~",370
"88% off 5 boot camp classes + consultation with Leon Rosa at Iron Asylum Boot Camp - kgbdeals~","Get in the best shape of your life: 5 classes with Leon Rosa at Iron Asylum Boot Camp. This $75 package is yours at 88% off; you pay just $9 to test drive this incredible program!~","Root~","True~","KGB Deals~","9.00~",371
"$35 for a chiropractic consultation and 60-min. massage - kgbdeals~","Treat your back to a full 60-minute massage and receive a chiropractic exam to guide you on the path to a better well-being at Nova Spinal Care at 90% off for $35 ($350 value).~","Root~","True~","KGB Deals~","35.00~",372
"93% off 20 fitness classes with Ground Pound Fitness - kgbdeals~","Get fit and feel great via 20 classes with Ground Pound Fitness, Chicago's premier military-style training program. You pay $30 for $400 worth of classes. That's 93% off Chicago's best workout.~","Root~","True~","KGB Deals~","30.00~",373
"70% off a cut at Rockstar Hair Boutique - kgbdeals~","Treat yourself to a quality haircut at Rockstar Hair Boutique, a cool new salon specializing in trends. This $45 value is just $13.50 (70% off)!~","Root~","True~","KGB Deals~","13.50~",374
"60% discount on baked goods at Sweet Whimsy - kgbdeals~","Get $10 worth of French-inspired pastries and preserves for just $4 at Sweet Whimsy. This charming bakery is the winner of Northshore Magazine&#0226;&#0128;&#0153;s &#0226;&#0128;&#0156;Best Desserts&#0226;&#0128;&#0157; &#0226;&#0128;&#0147; and now you can take a sweet 60% off your purchase!~","Root~","True~","KGB Deals~","4.00~",375
"69% off one month unlimited classes at Logan Square Fitness - kgbdeals~","Engage yourself in one month unlimited access at Logan Square Fitness. Boxing, Jiu Jitsu, Muay Thai, oh my! All 69% off - $23 for 1 month of unlimited classes (a $75 value).~","Root~","True~","KGB Deals~","23.00~",376
"70% off 25 units of Botox - kgbdeals~","Dip your face in the Fountain of Youth with this tempting kgbdeal: $175 for 25 units of Botox with Dr. Speron at Plastic and Reconstructive Surgeon in Park Ridge (a $580 value &#0226;&#0128;&#0147; 70% off).~","Root~","True~","KGB Deals~","175.00~",377
"71% discount on Endermologie treatment with Cutesy Body By IV - kgbdeals~","Don't give into the effects of aging. Fight back and put your best face forward for just $25 (reg. $85) for one Endermologie facial - 71% off.~","Root~","True~","KGB Deals~","25.00~",378
"71% discount on 1-night stay at Super 8 NASA - kgbdeals~","See the sights and turn in for the night in a Standard King room at Super 8 NASA hotel. This $68 value is yours for just $20 &#0226;&#0128;&#0147; 71% off.~","Root~","True~","KGB Deals~","20.00~",379
"50% off gold and silver jewelry from Mingle Jewelry - kgbdeals~","Grab attention with $80 worth of handcrafted gold and silver earrings, necklaces, rings, and bracelets for $40 from Mingle Jewelry. Carried in high-end boutiques and seen in media like People, this jewelry is the real deal.~","Root~","True~","KGB Deals~","40.00~",380
"72% off walking tour for 2 with Joyce Walks Chicago - kgbdeals~","Explore the architecture, culture, and history of the Magnificent Mile and Pilsen with Joyce Walks Chicago. Your choice of 2.5-hour tour is good for 2 people, so grab your BFF and hit the town for 72% off.~","Root~","True~","KGB Deals~","14.00~",381
"60% discount on food at Wingtown Grill - kgbdeals~","Satisfy your hunger with delish chicken wings, burgers, and fare, all with a savory side of 60% off. You pay $8 for $20 worth of food at Wingtown Grill, a 4.5-rated hot spot.~","Root~","True~","KGB Deals~","8.00~",382
"71% discount on anti-cellulite treatment at Family Massage Trust - kgbdeals~","Kiss unsightly fat cells goodbye with one anti-cellulite treatment at Family Massage Trust You pay $29 for one therapy session and enjoy 71% off the regular price of $99.~","Root~","True~","KGB Deals~","29.00~",383
